Conf,Schedule.Strength,Pass.TD,Pass.Int,Rush.TD,Heisman.Points,LnHeismanPoints
0,3.4,34,7,3,118,4.770684624465665
0,1.1,37,10,3,47,3.8501476017100584
0,3.7,38,9,0,127,4.844187086458591
0,7.5,40,10,1,1481,7.300472814267799
1,3.7,29,10,3,710,6.565264970035361
0,3.7,52,22,5,38,3.6375861597263857
1,3,20,7,3,162,5.087596335232384
0,-1.5,32,4,10,635,6.453624998892692
0,6.4,35,9,0,957,6.863803391452954
0,8.4,33,6,3,1325,7.1891677384203225
0,6.4,24,8,3,67,4.204692619390966
0,10.7,26,10,12,1608,7.382746449738912
0,10.2,28,8,6,797,6.680854678790215
0,6.1,32,7,1,191,5.25227342804663
0,1.9,34,6,1,21,3.044522437723423
0,-1.6,58,12,5,202,5.308267697401205
0,3.7,30,6,1,2504,7.825644732219989
1,6.4,32,6,23,1957,7.579167967396076
0,-5.2,38,17,8,632,6.448889394146858
0,7,20,4,9,178,5.181783550292085
0,7.4,14,4,14,150,5.0106352940962555
0,13.9,50,8,5,1726,7.453561871643373
1,11.2,30,4,12,1575,7.362010551259734
0,-7.9,26,8,5,10,2.302585092994046
0,10.8,34,8,11,1604,7.38025578842646
0,7.1,45,9,6,213,5.3612921657094255
1,8.6,21,5,14,390,5.966146739123692
0,1,39,3,1,100,4.605170185988092
0,-0.2,44,15,4,37,3.6109179126442243
1,9.8,30,7,20,2263,7.724446645633537
0,4.1,35,6,1,635,6.453624998892692
1,9.2,32,12,4,41,3.713572066704308
0,9,32,8,3,1079,6.983789965258135
0,3.3,27,6,6,30,3.4011973816621555
0,0.5,18,11,14,84,4.430816798843313
0,-1.1,21,8,20,31,3.4339872044851463
0,5.1,37,6,10,1687,7.430707082545968
0,6,33,4,6,52,3.9512437185814275
0,-2.3,48,5,3,123,4.812184355372417
0,2.5,43,9,0,90,4.499809670330265
0,9.5,37,10,2,1407,7.249215057114389
0,9.9,16,9,23,894,6.795705775173514
1,9.9,26,9,21,2029,7.615298339825815
0,1.6,40,10,4,2205,7.6984827878809465
0,7.1,32,3,14,127,4.844187086458591
1,9.9,37,13,9,421,6.042632833682381
1,10.1,28,7,0,704,6.556778356158042
0,11.4,42,4,15,2534,7.837554360881084
0,9.6,29,7,6,13,2.5649493574615367
0,11.1,34,10,11,78,4.356708826689592
1,9.7,27,11,14,21,3.044522437723423
0,6.6,25,18,3,51,3.9318256327243257
0,11.1,36,7,7,334,5.811140992976701
0,7.8,31,10,9,13,2.5649493574615367
0,10.3,35,13,12,1165,7.060476365999801
0,8.6,40,8,6,361,5.8888779583328805
0,9,43,9,4,182,5.204006687076795
0,7.1,30,9,21,2144,7.670428522190693
0,12.7,43,6,5,2398,7.7823903355874595
0,1.8,37,9,8,54,3.9889840465642745
0,8.2,37,9,10,56,4.02535169073515
0,6.6,27,10,18,793,6.675823221634848
0,9.9,42,7,12,2167,7.681099001536359
1,15.8,43,6,5,1871,7.534228326274089
0,6.9,37,8,3,126,4.836281906951478
0,-0.7,25,6,9,39,3.6635616461296463
0,7.6,50,8,4,783,6.663132695990803
0,9,32,8,20,762,6.635946555686647
1,18.2,60,6,5,2608,7.866338923046544
0,19,41,3,10,747,6.616065185132817
0,15.6,36,8,9,88,4.477336814478207
1,17,41,4,1,1130,7.029972911706386
0,0.7,33,3,10,42,3.7376696182833684
1,12.1,43,8,3,737,6.602587892189336
0,13.3,24,5,8,1187,7.079184394609668
0,18.2,22,6,5,48,3.871201010907891
0,11.2,44,6,0,399,5.988961416889864
1,15.3,47,7,3,2311,7.745435610274381
0,3.7,42,7,5,631,6.447305862541213
1,8,20,5,11,150,5.0106352940962555
0,5.1,30,8,6,81,4.394449154672439
0,14.7,41,6,0,539,6.289715570908998
1,14.3,27,2,5,226,5.420534999272286
0,6.6,42,5,10,2031,7.616283561580385
1,15.6,27,7,10,349,5.855071922202427
0,12.3,32,8,9,1420,7.258412150595307
1,14.8,32,5,4,141,4.948759890378168
0,4.2,31,8,4,114,4.736198448394496
0,3.6,38,7,7,42,3.7376696182833684
0,11.9,15,3,9,38,3.6375861597263857
1,14.4,33,3,2,24,3.1780538303479458
0,2.2,38,9,4,122,4.804021044733257
0,13.7,41,17,9,1524,7.329093736246592
0,7,24,7,0,13,2.5649493574615367
0,10.1,33,10,8,218,5.384495062789089
0,-7.1,24,8,23,558,6.324358962381311
0,-3.5,50,8,2,107,4.672828834461906
0,1.4,24,7,12,91,4.51085950651685
0,1.4,15,6,13,144,4.969813299576001
0,-7.1,25,6,19,52,3.9512437185814275
0,7.7,39,7,2,153,5.030437921392435
0,10.8,27,12,3,1145,7.0431599159883405
0,7.4,21,7,8,19,2.9444389791664403
0,7.7,33,11,4,425,6.052089168924417
0,1.6,31,19,2,63,4.143134726391533
0,2,37,7,2,782,6.661854740545311
0,5.5,17,10,11,49,3.8918202981106265
